IncidentNumber,DateOfCall,CalYear,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,AddressQualifier,BoroughName,IncidentStationGround,NumStationsWithPumpsAttending,NumPumpsAttending,CallCount,ResourceMobilisationId,TurnoutTimeSeconds,TravelTimeSeconds,AttendanceTimeSeconds,DeployedFromStation_Name,PumpOrder,DelayCode_Description,MobilisationTime,MonthOfCall,DayOfCall,Distance
235138081,2009-01-01,2009,0,Special Service,Special Service,RTC,Road Vehicle,In street close to gazetteer location,Wandsworth,Battersea,2.0,2,1.0,38427,253,89,342,Clapham,2,No delay,248,January,Thursday,1349.648784757096
2091,2009-01-01,2009,0,Fire,Secondary Fire,Not a Special Service,Outdoor,In street outside gazetteer location,Enfield,Edmonton,1.0,1,2.0,38429,151,157,308,Edmonton,1,No delay,436,January,Thursday,635.7165153803603
3091,2009-01-01,2009,0,Fire,Secondary Fire,Not a Special Service,Outdoor,On land associated with building,Hillingdon,Hillingdon,1.0,1,2.0,38430,108,102,210,Hillingdon,1,No delay,731,January,Thursday,380.0049191712461
5091,2009-01-01,2009,0,Fire,Secondary Fire,Not a Special Service,Outdoor,In street outside gazetteer location,Islington,Holloway,1.0,2,1.0,38432,114,119,233,Holloway,1,No delay,121,January,Thursday,1131.318418102387
6091,2009-01-01,2009,0,False Alarm,AFA,Not a Special Service,Dwelling,Correct incident location,Camden,Kentish Town,1.0,2,1.0,38434,83,89,172,Kentish Town,1,No delay,395,January,Thursday,534.3681759192268
