,IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),CallCount,ResourceMobilisationId,Resource_Code,PerformanceReporting,DateAndTimeMobilised,DateAndTimeMobile,DateAndTimeArrived,TurnoutTimeSeconds,TravelTimeSeconds,AttendanceTimeSeconds,DateAndTimeLeft,DateAndTimeReturned,DeployedFromStation_Code,DeployedFromStation_Name,DeployedFromLocation,PumpOrder,PlusCode_Code,PlusCode_Description,DelayCodeId,DelayCode_Description
899738,1151,01 Jan 2015,2015,00:02:15,0,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,CR0 5RE,CR0,,,E09000008,CROYDON,Croydon,E05011484,South Croydon,South Croydon,534581.0,164369.0,534550,164350,51.3624517716,-0.0682988195,London,Addington,282.0,Addington,285.0,Addington,1.0,2.0,2,64,315,1.0,4436381,H262,1,01/01/2015 00:02:36,01/01/2015 00:03:55,01/01/2015 00:07:18,79.0,203.0,282,01/01/2015 00:35:20,01/01/2015 00:43:10,H26,Addington,Home Station,1,Initial,Initial Mobilisation,,
899739,1151,01 Jan 2015,2015,00:02:15,0,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,CR0 5RE,CR0,,,E09000008,CROYDON,Croydon,E05011484,South Croydon,South Croydon,534581.0,164369.0,534550,164350,51.3624517716,-0.0682988195,London,Addington,282.0,Addington,285.0,Addington,1.0,2.0,2,64,315,1.0,4436380,H261,2,01/01/2015 00:02:36,01/01/2015 00:03:50,01/01/2015 00:07:21,74.0,211.0,285,01/01/2015 00:33:33,01/01/2015 00:38:47,H26,Addington,Home Station,2,Initial,Initial Mobilisation,,
899740,4151,01 Jan 2015,2015,00:03:05,0,Fire,Secondary Fire,,Outdoor,Hedge,Correct incident location,EN2 0EW,EN2,207116635.0,20702538.0,E09000010,ENFIELD,Enfield,E05013695,Whitewebbs,Whitewebbs,532655.0,198115.0,532650,198150,51.6661641724,-0.0832583072,London,Enfield,404.0,Enfield,,,1.0,1.0,1,60,295,3.0,4436383,A352,1,01/01/2015 00:03:14,01/01/2015 00:03:58,01/01/2015 00:09:58,44.0,360.0,404,01/01/2015 00:15:10,01/01/2015 00:27:26,A35,Enfield,Home Station,1,Initial,Initial Mobilisation,12.0,Not held up
899741,8151,01 Jan 2015,2015,00:04:40,0,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,W7 1NP,W7,12061941.0,20600908.0,E09000009,EALING,Ealing,E05013529,North Hanwell,North Hanwell,515603.0,181226.0,515650,181250,51.5181357981,-0.3352619905,London,Ealing,299.0,Ealing,,,1.0,1.0,1,60,295,2.0,4436385,G251,1,01/01/2015 00:04:54,01/01/2015 00:06:10,01/01/2015 00:09:53,76.0,223.0,299,01/01/2015 00:44:58,01/01/2015 00:50:28,G25,Ealing,Home Station,1,Initial,Initial Mobilisation,,
899742,10151,01 Jan 2015,2015,00:06:20,0,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,CR8,0.0,20500307.0,E09000008,CROYDON,Croydon,E05011469,Kenley,Kenley,,,531450,159150,,,London,Purley,401.0,Purley,,,1.0,1.0,1,60,295,1.0,4436390,H291,1,01/01/2015 00:06:52,01/01/2015 00:11:01,01/01/2015 00:13:33,249.0,152.0,401,01/01/2015 00:20:53,01/01/2015 00:25:16,H29,Purley,Home Station,1,Initial,Initial Mobilisation,11.0,Mob/Radio problems when mobilised
